time (s),time delta (s),carrier freq (Mhz)
0.143,,921.5
0.293,0.15,919.0
0.443,0.15,904.0
0.593,0.15,914.0
0.743,0.15,922.0
0.893,0.15,926.0
1.043,0.15,921.0
1.193,0.15,913.0
1.343,0.15,903.0
1.493,0.15,908.0
1.643,0.15,913.5
1.793,0.15,904.5
1.944,0.151,906.5
2.094,0.15,918.5
2.244,0.15,915.0
2.394,0.15,912.0
2.544,0.15,908.5
2.694,0.15,906.0
2.844,0.15,924.0
2.994,0.15,905.0
3.144,0.15,915.5
3.294,0.15,927.0
3.444,0.15,911.0
3.594,0.15,914.5
3.744,0.15,907.0
3.894,0.15,924.5
4.044,0.15,910.0
4.194,0.15,910.5
4.344,0.15,912.5
4.494,0.15,917.0
4.644,0.15,920.5
4.794,0.15,907.5
4.945,0.151,916.0
5.095,0.15,917.5
5.245,0.15,923.0
5.395,0.15,916.5
5.502,0.107,915.0
5.869,0.367,926.5
5.995,0.126,920.0
6.145,0.15,918.0
6.295,0.15,919.5
6.445,0.15,922.5
6.595,0.15,902.5
6.745,0.15,923.5
6.895,0.15,909.5
7.045,0.15,903.5
7.195,0.15,911.5
7.345,0.15,925.0
7.495,0.15,909.0
7.645,0.15,921.5
7.795,0.15,919.0
7.946,0.151,904.0
8.096,0.15,914.0
8.246,0.15,922.0
8.396,0.15,926.0
8.546,0.15,921.0
8.696,0.15,913.0
8.846,0.15,903.0
8.996,0.15,908.0
9.146,0.15,913.5
9.296,0.15,904.5
9.446,0.15,906.5
9.596,0.15,918.5
9.746,0.15,915.0
9.896,0.15,912.0
10.046,0.15,908.5
10.196,0.15,906.0
10.346,0.15,924.0
10.496,0.15,905.0
10.646,0.15,915.5
10.796,0.15,927.0
10.947,0.151,911.0
11.097,0.15,914.5
11.247,0.15,907.0
11.397,0.15,924.5
11.547,0.15,910.0
11.697,0.15,910.5
11.847,0.15,912.5
11.997,0.15,917.0
12.147,0.15,920.5
12.297,0.15,907.5
12.447,0.15,916.0
12.597,0.15,917.5
12.747,0.15,923.0
12.897,0.15,916.5
13.047,0.15,905.5
13.197,0.15,925.5
13.347,0.15,926.5
13.497,0.15,920.0
13.647,0.15,918.0
13.797,0.15,919.5
13.948,0.151,922.5
14.097,0.149,902.5
14.248,0.151,923.5
14.398,0.15,909.5
14.548,0.15,903.5
14.698,0.15,911.5
14.848,0.15,925.0
14.998,0.15,909.0
15.148,0.15,921.5
15.287,0.139,915.0
15.654,0.367,914.0
15.748,0.094,922.0
15.898,0.15,926.0
16.048,0.15,921.0
16.198,0.15,913.0
16.348,0.15,903.0
16.498,0.15,908.0
16.648,0.15,913.5
16.798,0.15,904.5
16.948,0.15,906.5
17.099,0.151,918.5
17.249,0.15,915.0
17.399,0.15,912.0
17.549,0.15,908.5
17.699,0.15,906.0
17.849,0.15,924.0
17.999,0.15,905.0
18.149,0.15,915.5
18.299,0.15,927.0
18.449,0.15,911.0
18.599,0.15,914.5
18.749,0.15,907.0
18.899,0.15,924.5
19.049,0.15,910.0
19.199,0.15,910.5
19.349,0.15,912.5
19.499,0.15,917.0
19.649,0.15,920.5
19.799,0.15,907.5
19.95,0.151,916.0
20.099,0.149,917.5
20.25,0.151,923.0
20.4,0.15,916.5
20.55,0.15,905.5
20.7,0.15,925.5
20.85,0.15,926.5
21,0.15,920.0
21.15,0.15,918.0
21.3,0.15,919.5
21.45,0.15,922.5
21.6,0.15,902.5
21.75,0.15,923.5
21.9,0.15,909.5
22.05,0.15,903.5
22.2,0.15,911.5
22.35,0.15,925.0
22.5,0.15,909.0
22.65,0.15,921.5
22.8,0.15,919.0
22.95,0.15,904.0
23.101,0.151,914.0
23.25,0.149,922.0
23.401,0.151,926.0
23.551,0.15,921.0
23.701,0.15,913.0
23.851,0.15,903.0
24.001,0.15,908.0
24.151,0.15,913.5
24.301,0.15,904.5
24.451,0.15,906.5
24.601,0.15,918.5
24.751,0.15,915.0
24.901,0.15,912.0
25.051,0.15,908.5
25.135,0.084,915.0
25.499,0.364,924.0
25.501,0.002,905.0
25.651,0.15,915.5
25.801,0.15,927.0
25.951,0.15,911.0
26.102,0.151,914.5
26.252,0.15,907.0
26.402,0.15,924.5
26.552,0.15,910.0
26.702,0.15,910.5
26.852,0.15,912.5
27.002,0.15,917.0
27.152,0.15,920.5
27.302,0.15,907.5
27.452,0.15,916.0
27.602,0.15,917.5
27.752,0.15,923.0
27.902,0.15,916.5
28.052,0.15,905.5
28.202,0.15,925.5
28.352,0.15,926.5
28.502,0.15,920.0
28.652,0.15,918.0
28.802,0.15,919.5
28.952,0.15,922.5
29.102,0.15,902.5
29.253,0.151,923.5
29.403,0.15,909.5
29.553,0.15,903.5
29.703,0.15,911.5
29.853,0.15,925.0
30.003,0.15,909.0
30.153,0.15,921.5
30.303,0.15,919.0
30.453,0.15,904.0
30.603,0.15,914.0
30.753,0.15,922.0
30.903,0.15,926.0
31.053,0.15,921.0
31.203,0.15,913.0
31.353,0.15,903.0
31.503,0.15,908.0
31.653,0.15,913.5
31.803,0.15,904.5
31.953,0.15,906.5
32.103,0.15,918.5
32.253,0.15,915.0
32.404,0.151,912.0
32.554,0.15,908.5
32.704,0.15,906.0
32.854,0.15,924.0
33.004,0.15,905.0
33.154,0.15,915.5
33.304,0.15,927.0
33.454,0.15,911.0
33.604,0.15,914.5
33.754,0.15,907.0
33.904,0.15,924.5
34.054,0.15,910.0
34.204,0.15,910.5
34.354,0.15,912.5
34.504,0.15,917.0
34.654,0.15,920.5
34.804,0.15,907.5
34.911,0.107,915.0
35.278,0.367,923.0
35.404,0.126,916.5
35.555,0.151,905.5
35.705,0.15,925.5
35.855,0.15,926.5
36.005,0.15,920.0
36.155,0.15,918.0
36.305,0.15,919.5
36.455,0.15,922.5
36.605,0.15,902.5
36.755,0.15,923.5
36.905,0.15,909.5
37.055,0.15,903.5
37.205,0.15,911.5
37.355,0.15,925.0
37.505,0.15,909.0
37.655,0.15,921.5
37.805,0.15,919.0
37.955,0.15,904.0
38.105,0.15,914.0
38.255,0.15,922.0
38.405,0.15,926.0
38.556,0.151,921.0
38.706,0.15,913.0
38.856,0.15,903.0
39.006,0.15,908.0
39.156,0.15,913.5
39.306,0.15,904.5
39.456,0.15,906.5
39.606,0.15,918.5
39.756,0.15,915.0
39.906,0.15,912.0
40.056,0.15,908.5
40.206,0.15,906.0
40.356,0.15,924.0
40.506,0.15,905.0
40.656,0.15,915.5
40.806,0.15,927.0
40.956,0.15,911.0
41.106,0.15,914.5
41.256,0.15,907.0
41.406,0.15,924.5
41.557,0.151,910.0
41.707,0.15,910.5
41.857,0.15,912.5
42.007,0.15,917.0
42.157,0.15,920.5
42.307,0.15,907.5
42.457,0.15,916.0
42.607,0.15,917.5
42.757,0.15,923.0
42.907,0.15,916.5
43.057,0.15,905.5
43.207,0.15,925.5
43.357,0.15,926.5
43.507,0.15,920.0
43.657,0.15,918.0
43.807,0.15,919.5
43.957,0.15,922.5
44.107,0.15,902.5
44.257,0.15,923.5
44.408,0.151,909.5
44.557,0.149,903.5
44.697,0.14,915.0
45.063,0.366,909.0
45.158,0.095,921.5
45.308,0.15,919.0
45.458,0.15,904.0
45.608,0.15,914.0
45.758,0.15,922.0
45.908,0.15,926.0
46.058,0.15,921.0
46.208,0.15,913.0
46.358,0.15,903.0
46.508,0.15,908.0
46.658,0.15,913.5
46.808,0.15,904.5
46.958,0.15,906.5
47.108,0.15,918.5
47.258,0.15,915.0
47.408,0.15,912.0
47.559,0.151,908.5
47.709,0.15,906.0
47.859,0.15,924.0
48.009,0.15,905.0
48.159,0.15,915.5
48.309,0.15,927.0
48.459,0.15,911.0
48.609,0.15,914.5
48.759,0.15,907.0
48.909,0.15,924.5
49.059,0.15,910.0
49.209,0.15,910.5
49.359,0.15,912.5
49.509,0.15,917.0
49.659,0.15,920.5
49.81,0.151,907.5
49.96,0.15,916.0
50.109,0.149,917.5
50.26,0.151,923.0
50.409,0.149,916.5
50.56,0.151,905.5
50.71,0.15,925.5
50.86,0.15,926.5
51.01,0.15,920.0
51.16,0.15,918.0
51.31,0.15,919.5
51.46,0.15,922.5
51.61,0.15,902.5
